watch_name,type_gender,brand,watch_color,watch_size,length_of_band,price
Rolex Datejust Combination Watch (16233),M,Rolex,yellow combination,18.0,36.0,7500.0
Cartier Benoit Gold Watch,F,Cartier,grey,16.0,28.0,7900.0
Rolex Milgauss Steel Watch (116400GV),M,Rolex,steel,17.0,40.0,9000.0
Cartier Claire de Diamonds Gold Watch,F,Cartier,green,16.0,32.0,15000.0
Rolex Steel Diamond Watch (116234),M,Rolex,steel,16.0,36.0,11500.0
Rolex Combi Diamond Watch (279171),F,Rolex,other,15.0,28.0,16000.0
Breitling Navitimer Chrono Steel Watch (AB0138),M,BREITLING,black,19.0,43.0,7200.0
Blancpain Villeret Ultra Slim Steel Watch (6651-1127-55B),M,Blancpain,black,19.0,40.0,6500.0
Hermes H Hour Gold Plated Watch (HH1.201e),F,Hermes,other,16.0,25.5,2200.0
Cartier Tank Francaise Steel Watch,F,Cartier,steel,15.0,22.5,2250.0
Jaeger Lecoultre Reverso Grandetale Watch,F,Jaeger leCoultre,steel,15.0,34.0,6500.0
Chanel J12 Ceramic Watch (H5581),Both,Chanel,black,14.0,39.0,3800.0
Blancpain Fifty Fathoms Bathyscaphe Steel Watch (5100B-1110-B52A),M,Blancpain,black,19.0,38.0,7200.0
Cartier Tank Francaise Steel Watch,F,Cartier,steel,14.0,22.5,2700.0
IWC Portupino Steel Watch (IW356517),M,IWC,black,19.0,40.0,3500.0
Rolex Submariner Combi Watch (116613LN),M,Rolex,yellow combination,18.0,40.0,17800.0
Frederique Constant Classic Steel Watch (FC-303X5B3/4/5/6),M,Frederique Constant,brown,19.0,40.0,800.0
Rolex Combi Diamond Watch (126231),M,Rolex,pink combination,18.0,36.0,17000.0
Rolex Steel Watch (115234),M,Rolex,steel,15.0,34.0,8700.0
Cartier Santos Steel Watch (WSSA0018),M,Cartier,steel,18.0,43.0,6300.0
Rolex Submariner Steel Watch (116610LN),M,Rolex,steel,19.0,40.0,16500.0
Breitling Chronomat 44 Chrono Combi Watch (IB0110),M,BREITLING,black,18.0,44.0,3800.0
Cartier Must Tank Watch (Small),F,Cartier,black,17.0,22.0,3800.0
Cartier Ballon Bleu Steel Watch (Medium),F,Cartier,steel,14.0,33.0,5000.0
Cartier Longe Steel Watch (XL),M,Cartier,steel,17.0,42.0,3300.0
Rolex Datejust Steel Watch (116200),M,Rolex,steel,16.0,36.0,7900.0
Gucci Gold Plated Combi Watch (126.5),F,Gucci,other,16.0,27.0,450.0
Chanel J12 watch,M,Chanel,black,15.0,39.0,9000.0
Patek Philippe Twenty Four Steel Diamond Watch,F,PATEK PHILIPPE,steel,16.0,27.0,15000.0
Cartier Ballon Bleu Steel Watch (WSBB0046),F,Cartier,steel,14.0,33.0,4300.0
Cartier Solo Tank Gold Watch (Small),F,Cartier,brown,12.0,24.0,5800.0
Chanel J12 diamond watch,F,Chanel,black,15.0,34.0,6500.0
Tag Heuer Carrera Steel Chrono Watch (CAS2111),M,Tagheuer,steel,18.0,40.0,2000.0
IWC Portupino Moonphase Gold Diamond Watch (IW459003),M,IWC,dark blue,13.0,37.0,17500.0
Omega Speedmaster Chrono Steel Watch,Both,OMEGA,other,16.0,38.0,1850.0
Rolex Datejust 10P Diamond Combi Watch (116231),Both,Rolex,pink combination,17.0,36.0,13500.0
Gucci Steel Watch (5500M),M,Gucci,steel,19.0,35.0,400.0
Hermes H Hour Diamond Steel Watch (HH1.235),F,Hermes,dark blue,16.0,25.5,4000.0
Tudor Black Bay S&G Combi Watch (79733N),M,TUDOR,yellow combination,18.0,41.0,4300.0
Rolex Datejust 10P Diamond Gold Watch (69178),F,Rolex,yellow gold,15.0,26.0,12000.0
Rolex Seedweller Combi Watch (126603),M,Rolex,yellow combination,19.0,43.0,22500.0
Longines Master Collection Steel Watch (L2.909.4),M,LONGINES,blue,18.0,40.0,1950.0
Rolex Datejust 10P Diamond Combi Watch (69173),F,Rolex,yellow combination,15.0,26.0,6300.0
Cartier Ballon Bleu Combination Watch,F,Cartier,yellow combination,15.0,28.0,4800.0
Cartier Solo Tank Watch (Small),F,Cartier,black,14.0,24.0,3200.0
Cartier Ballon Bleu Chrono Steel Watch,M,Cartier,black,19.0,44.0,4800.0
Chanel J12 Diamond Ceramic Watch (H2570),F,Chanel,white,15.0,29.0,4900.0
Rolex Combi Diamond Watch (116231),M,Rolex,other,18.0,36.0,16000.0
Cartier Santos Combi Watch (Small),F,Cartier,yellow combination,15.0,24.0,2300.0
Tag Heuer Aquaracer Steel Watch,M,Tagheuer,steel,18.0,44.0,1200.0
Rolex Submariner Combi Watch (116613LB),M,Rolex,yellow combination,16.0,40.0,18000.0
Rolex Combi Diamond Watch (179173),F,Rolex,yellow combination,14.0,26.0,12000.0
Rolex Day Date Diamond Gold Watch (128238),M,Rolex,yellow gold,17.0,36.0,45000.0
IWC Pilot Spitfire Watch (IW387903),M,IWC,other,15.0,41.0,6000.0
Rolex Combi Diamond Watch (279171),F,Rolex,pink combination,15.0,28.0,17000.0
Cartier Benoit Gold Watch,F,Cartier,black,16.0,27.0,4600.0
Cartier Ballon Bleu Steel Watch (W6920071),F,Cartier,steel,15.0,33.0,4500.0
Rolex GMT Master 2 Combi Watch (126711CHNR),M,Rolex,pink combination,17.0,40.0,27000.0
Rolex Skydweller Gold Watch (326935),M,Rolex,other,19.0,42.0,84000.0
Louis Vuitton Tambour Steel Watch (QA124),Both,Louis Vuitton,blue,17.0,39.0,3300.0
Cartier Solo Tank Steel Watch,F,Cartier,steel,13.0,27.5,2350.0
Cartier Ballon Bleu Chrono Steel Watch,M,Cartier,steel,18.0,4.0,5200.0
Rolex Combi Diamond Watch (279173),F,Rolex,yellow combination,17.0,28.0,17000.0
Gucci Sync Watch (137.1),M,Gucci,other,16.0,45.0,500.0
Chopard Happy Sports Moving Diamond Steel Watch (278475-3002),F,Chopard,black,16.0,36.0,3500.0
Chanel J12 Diamond Ceramic Watch (H2570),F,Chanel,white,14.0,29.0,5600.0
Fendi Diamond Steel Watch (F103102001),F,Fendi,steel,17.0,19.0,650.0
Rolex Oyster Perpetual Steel Watch (126000),Both,Rolex,steel,17.0,36.0,28000.0
Omega Deville Steel Watch (424.10.24),F,OMEGA,steel,14.0,24.0,1200.0
Hermes H Hour Gold Plated Watch (HH1.201e),F,Hermes,other,16.0,25.5,2300.0
Longines Master Collection Chrono Steel Watch (L2.773.4),M,LONGINES,steel,17.0,42.0,1500.0
Chanel J12 Diamond Ceramic Watch (H1626),Both,Chanel,black,15.0,39.0,6900.0
Cartier Ballon Bleu Gold Watch,M,Cartier,other,18.0,41.0,24000.0
Cartier Tank Combi Watch (Small),F,Cartier,yellow combination,16.0,20.0,5300.0
Omega Seamaster Diver300 Watch,M,OMEGA,black,16.0,42.0,4500.0
Rolex Datejust Combination Watch (116233),M,Rolex,yellow combination,16.0,36.0,12000.0
Cartier Ballon Bleu Steel Watch,F,Cartier,steel,14.0,33.0,3900.0
Rolex Submariner Combi Watch (116613LN),M,Rolex,yellow combination,18.0,40.0,18800.0
Breitling Colt Steel Watch (A77388),F,BREITLING,black,17.0,33.0,1000.0
Gucci Sync Watch (137.1),M,Gucci,other,16.0,45.0,500.0
Piaget Altiprano Ultra Thin Platinum Watch (G0A34120),M,Piaget,black,19.0,40.0,19800.0
Baume & Mercier Promise Diamond Watch,F,,white,13.0,34.0,800.0
IWC Aquatimer Steel Watch (IW356802),M,IWC,steel,19.0,45.0,3200.0
Gucci watch (6600),F,Gucci,other,14.0,20.0,300.0
Rolex Combi Diamond Watch (126231),M,Rolex,other,19.0,36.0,17500.0
Rolex Combi Diamond Watch (179173),F,Rolex,yellow combination,15.0,26.0,10000.0
Gucci Steel Watch (134.3),F,Gucci,other,18.0,34.0,300.0
Gucci Steel Diamond Watch (1500L),F,Gucci,other,16.0,18.0,300.0
Tag Heuer Carrera Steel Chrono Watch (CV2014-3),M,Tagheuer,steel,17.0,41.0,1800.0
Cartier Ballon Bleu Steel Watch (Medium),F,Cartier,steel,14.0,33.0,4700.0
Rolex Datejust Combination Watch (116231),M,Rolex,pink combination,18.0,36.0,13800.0
Chanel Premier Diamond Watch,F,Chanel,white,12.0,17.0,3800.0
Tag Heuer Carrera Chrono Steel Watch (CAV511A),M,Tagheuer,steel,16.0,43.0,2400.0
Cartier Tank Francaise Steel Watch,F,Cartier,steel,14.0,22.5,2300.0
Omega Deville Steel Watch,F,OMEGA,steel,14.0,22.0,1000.0
Cartier Panther Gold Watch,M,Cartier,other,16.0,42.0,95000.0
Rolex Datejust Combination Watch (69173),F,Rolex,yellow combination,15.0,26.0,5500.0
Rolex GMT Master 2 Steel Watch (126710BLNR),M,Rolex,steel,18.0,40.0,26900.0
Bulgari BB Combi Watch (BB26SG),F,Bvlgari,yellow combination,14.0,26.0,1360.0
Rolex Datejust Steel Watch (116234),M,Rolex,steel,16.0,36.0,10400.0
Rolex Datejust 10P Diamond Combi Watch (279171),F,Rolex,pink combination,15.0,28.0,18400.0
Rolex Datejust 10P Diamond Combi Watch (279171),F,Rolex,pink combination,13.0,28.0,16900.0
Rolex Skydweller Combi Watch (326933),M,Rolex,yellow combination,18.0,42.0,22900.0
Rolex Steel Watch (179174),F,Rolex,steel,15.0,26.0,6000.0
Rolex Combi Watch (126231),Both,Rolex,pink combination,16.0,36.0,16800.0
Rolex 10P Diamond Steel Watch (178274),F,Rolex,steel,15.0,31.0,10700.0
Rolex Seedweller Deepsea Steel Watch (126660),M,Rolex,steel,16.0,44.0,19500.0
Rolex Combi Watch (179173),F,Rolex,yellow combination,15.0,26.0,10500.0
Rolex 10P Diamond Combi Watch (279173),F,Rolex,yellow combination,16.0,28.0,14600.0
Rolex 10P Diamond Combi Watch (178341),F,Rolex,pink combination,14.0,3.0,17100.0
Rolex Submariner Combination Watch (116613),M,Rolex,yellow combination,19.0,40.0,18400.0
Rolex Diamond Combi Watch (126233),Both,Rolex,yellow combination,17.0,36.0,17300.0
Rolex Seedweller Steel Watch (126600),M,Rolex,steel,17.0,43.0,19100.0
Rolex GMT-Master 2 Steel Watch (116710),M,Rolex,steel,16.0,40.0,16100.0
Cartier Tank Steel Watch (Small),F,Cartier,steel,15.0,20.0,2299.0
Hermes H Hour Diamond Watch (HH1.210),F,Hermes,brown,16.0,21.0,2565.0
Rolex Steel Watch (124300),M,Rolex,steel,18.0,41.0,17500.0
Louis Vuitton Tambour Chrono Watch (Q102V),M,Louis Vuitton,other,20.0,45.0,4300.0
Girard Perregaux Loreato Steel Chrono Watch,M,Girard-Perregaux,steel,17.0,42.0,24400.0
Omega Aquaterra Steel Watch,M,OMEGA,steel,17.0,41.0,3800.0
Cartier Tank MC Chrono Watch,M,Cartier,black,18.0,34.0,5850.0
Tag Heuer Aquaracer Combi Diamond Watch (WAF1450),F,Tagheuer,yellow combination,14.0,27.0,3100.0
Cartier Santos Combi Watch,F,Cartier,yellow combination,15.0,29.5,2000.0
Tag Heuer Aquaracer Steel Watch (WAY111C),M,Tagheuer,steel,17.0,42.0,1230.0
ferragamo steel watch,F,Ferragamo,other,14.0,24.0,180.0
Cartier Ballon Bleu Steel Watch (W69011Z4),Both,Cartier,steel,17.0,36.0,4300.0
Chanel Premier Diamond Steel Watch,F,Chanel,white,16.0,17.5,3600.0
Cartier American Tank Diamond Gold Watch,F,Cartier,other,15.0,27.0,11750.0
Cartier Caliber Diver Steel Steel (W7100056),M,Cartier,black,20.0,43.0,5500.0
Rolex Oyster Perpetual Steel Watch (124300),M,Rolex,steel,18.0,41.0,14500.0
Cartier Delis diamond gold watch,F,Cartier,other,22.0,50.0,35000.0
Chanel J12 Ceramic Watch (H5695),F,Chanel,black,16.0,34.0,4500.0
IWC Portuguese Chrono Steel Watch,M,IWC,black,18.0,41.0,5200.0
Chanel Premier Watches,F,Chanel,other,15.0,23.0,1950.0
Tag Heuer Formula 1 Steel Watch (WAZ1110),M,Tagheuer,steel,16.0,41.0,800.0
Gucci Steel Chrono Watch (101M),M,Gucci,steel,17.0,44.0,500.0
Rolex Datejust 10P Diamond Combi Watch (179173),F,Rolex,yellow combination,14.0,26.0,11500.0
Tiffany Atlas Silver Watch (L0640),F,Tiffany,black,18.0,24.0,650.0
Breitling Navitimer Steel Watch (A17326),M,BREITLING,black,19.0,41.0,4200.0
Chanel Premier Gold Plated Watch,F,Chanel,other,14.0,23.0,2000.0
Cartier Ballon Blanc Diamond Watch (Medium),F,Cartier,grey,13.0,30.0,13000.0
Ferragamo Gold Plated Combi Watch (FI1020014),F,Ferragamo,other,15.0,32.0,280.0
Rolex Daytona Chrono Combi Watch (116523),M,Rolex,yellow combination,16.0,40.0,26000.0
Rolex Datejust 10P Diamond Combi Watch (116233),M,Rolex,yellow combination,15.0,36.0,11800.0
Rolex Combi Diamond Watch (179171),F,Rolex,pink combination,15.0,26.0,11000.0
Baume & Mercier Linea Steel Watch,F,other,steel,14.0,27.0,1000.0
Rolex Submariner Steel Watch (116610LV),M,Rolex,steel,18.0,40.0,26000.0
Rolex Combi Diamond Watch (279173),F,Rolex,yellow combination,15.0,28.0,14500.0
Cartier Panther Gold Diamond Watch (Small),F,Cartier,other,14.0,22.0,23000.0
Rolex Combi Watch (179173),F,Rolex,yellow combination,15.0,26.0,9500.0
Rolex Air King Steel Watch (126900),M,Rolex,steel,18.0,40.0,11400.0
Cartier Tank Louis Gold Watch (Small),F,Cartier,other,12.0,22.0,9500.0
Cartier Tank Louis Gold Watch (Large),Both,Cartier,other,14.0,25.0,9800.0
Rolex Combi Diamond Watch (68273),F,Rolex,yellow combination,18.0,31.0,7300.0
Gucci Steel Watch (3600M),Both,Gucci,steel,18.0,30.5,380.0
Rolex Steel Diamond Watch (79174),F,Rolex,steel,16.0,26.0,5500.0
Omega Deville Combi Watch,M,OMEGA,brown,19.0,40.0,3000.0
Omega Deville Combi Watch,F,OMEGA,brown,15.0,27.0,2150.0
Cartier Santos Steel Watch (Small),F,Cartier,steel,14.0,24.0,3000.0
Hermes H Hour Two Strap Dia Steel Watch (HH1.110),F,Hermes,other,15.0,21.0,2600.0
Cartier Santos Combi Watch (W2SA0006),M,Cartier,yellow combination,16.0,43.0,10200.0
Chanel Lahonde Steel Watch,F,Chanel,black,16.0,29.0,750.0
Baume & Mercier Hampton Steel Watch (65647),M,,dark blue,19.0,38.0,1300.0
Ferragamo Gancini gold-plated watch,F,Ferragamo,other,16.0,24.0,315.0
Chanel Lahonde Steel Watch,F,Chanel,black,15.0,29.0,750.0
Cartier Santos Combi Watch,F,Cartier,yellow combination,15.0,13.0,2450.0
Chanel J12 watch,Both,Chanel,white,15.0,39.0,9300.0
Hermes Cape Cod Diamond Watch (CC.3.730),F,Hermes,white,17.0,29.0,7800.0
Omega Speedmaster Chrono Steel Watch,M,OMEGA,steel,17.0,39.0,2165.0
Fendi Steel Watch (7000L),F,Fendi,brown,16.0,22.5,250.0
Hermes H Hour Steel Watch (HH1.210),F,Hermes,brown,16.0,25.5,1000.0
Tag Heuer Carrera GMT Steel Watch (WAR201Z),M,Tagheuer,steel,18.0,40.0,1550.0
Rolex Datejust Combination Watch (279171),F,Rolex,pink combination,14.0,28.0,13300.0
Hublot Classic Fusion Aerofusion Chrono Gold Watch (525.OX.0180.LR),M,HUBLOT,black,18.0,45.0,29500.0
Rolex Datejust Diamond Steel Watch (116244),M,Rolex,steel,14.0,36.0,15000.0
Audemars Piguet Royal Oak Offshore Chrono Carbon Watch (26400AU),M,Audemars Piguet,black,18.0,44.0,37000.0
Tudor Black Bay GMT Steel Watch (79830),M,TUDOR,steel,19.0,4.0,3300.0
Breitling Navitimer Chrono Steel Watch (AB0120),M,BREITLING,steel,17.0,43.0,7700.0
